末代皇帝 The Last Emperor
贝纳尔多·贝托鲁奇
尊龙,陈冲,邬君梅,彼得·奥图尔,英若诚,吴涛,黄自强,丹尼斯·邓恩,坂本龙一,马吉·汉,里克·扬,田川洋行,苟杰德,理查德·吴,皱缇格,陈凯歌,卢燕,区亨利,陈述,鲍皓昕,黄文捷,邵茹贞,亨利·基,张良斌,梁冬,康斯坦丁·格雷戈里,黄汉琪,王涛,宋怀桂,蔡鸿翔,程淑艳,张天民
片长:
"
"
UserName,Watched Already,Comments,Dates,Review_Score,Upvote
光年‖影视歌三栖民工,看过,溥仪登基之初的十六抬大辇，和片末游行时红卫兵扛在肩上的毛泽东像，讽刺意味浓重。感觉导演还想告诉我更多的东西。但我更多是对这位末代皇帝的同情，还有艳慕。。。好喜欢大被同床的双飞镜头。,2009-03-18 15:52:04,allstar50 rating,9014
单线程青年,看过,不偏袒的好片儿！一个进自己原来的宫殿还要买票的皇帝。,2008-03-24 09:06:17,allstar50 rating,7664
托尼·王大拿,看过,"尽管看一群中国人在屏幕上讲英语很是奇怪，但不能否认这是部出色的电影：它与国家无关，与王朝无关，这只是一个渴望自由却不得的人的编年史；""门""的意象被反复提及，寓意溥仪被禁闭的一生；贝托鲁奇娴熟的运镜，要人命的广角自然光，美妙的配乐。",2011-03-21 16:43:30,allstar50 rating,5157
康报虹,看过,"回忆起来，初次看《末代皇帝》时，我并没有意识到这是一部史诗巨作，甚至一度以为导演是中国人，《末代皇帝》也就成了贝托鲁奇去世前我看过的唯一一部他执导的片子。好几年过去了，尽管再没看过它，但总有人谈论它，有影片的传奇经历，也有电影外的溥仪。我从中了解了很多，也更加迷惑，直到今天我依然觉得它的诞生本就是一个奇迹——是我们所说的“天时、地利、人和”之果。
溥仪的一生，也是封建帝制覆灭和新社会体制形成的日子。喻大华曾评价溥仪说“他身为皇帝却没有掌握过一天国家政权；长期处于政治漩涡中却未发挥关键的作用。”这句话极好的概括了溥仪戏剧化的人生，他的面前永远有一堵墙，将他和世界隔离——除了皇帝，他只是一个悲惨的普通人。导演贝托鲁奇在尊重史实的前提下很好的展现了溥仪作为“人”的一面，而不是他作为“世人”的一面。",2018-12-10 22:45:19,allstar50 rating,17
猫司令,看过,2016419重看3D，第一次北京电影节。说陈冲是中国的莫妮卡贝鲁奇，名副其实。这样的一生，单是白描就已经够恢宏了，在历史面前，谁都是身不由己的小人物。,2016-04-20 09:43:06,allstar50 rating,19
JoshuaLi,看过,8.4  最后的转场让人觉得恍如隔世，如同溥仪一生见证了中国坎坷巨变。 #SIFF2015,2015-06-20 12:05:55,allstar50 rating,17
鼓腹游,看过,溥仪，他在这样一个时代客串了一个他无法掌控的人生角色，而悲剧没落在历史的洪流中。导演没有做情感性的说辞，仅仅是真实的叙述，是非自有定论。本片音乐细致，华丽而夸张的视觉效果，更难能可贵的是——非常尊重历史！而这么有中国味的电影居然是出自意大利人人之手。是可悲可叹也是可敬！9.3,2011-11-26 21:29:40,allstar50 rating,15
喜欢吗~,看过,自由，他从来没拥有过。,2017-02-10 21:39:46,allstar40 rating,27
胖胖小君君,看过,"再也没有比溥仪更惨的皇帝了吧
漂泊多灾多难的一生",2017-02-27 09:27:03,allstar40 rating,18
Hey Johnny,看过,始终觉得看中国人说外语是很别扭，于我这种语境差异一直伴随全片，另觉得外国人看中国的视角到底还是有些偏差。若不考虑那些历史细节是否符实，仅看溥仪一生的悲哀命运，电影讲的不错。一生终究打不开囚禁自己的那扇门，不同阶段被不同人掌控命运。甚至他身边的女人，他所活的那个国那些时代都是悲哀。,2010-12-14 00:46:18,allstar40 rating,11
黄悦_,看过,他去追阿嬷 也去过追婉容，无奈自己只是个傀儡 面对自己喜爱的人儿 还是毫无作为。他知道要成长必须走出外面的未知世界 然而当他第二次苍白无力地喊出“open the door” 他才真正意识到他根本没有任何革命的能力 或者决心。他似乎认命地困在了一个又一个华丽的大城堡牢笼里了 于是 这个连自杀认输的权利都在这个时代被剥夺掉了的末代皇帝 这个连回一趟家都要偷偷摸摸的人 除了让人感叹他唏嘘的人生 别无他意了。,2019-06-26 17:35:27,allstar50 rating,5
大耳朵_,看过,☺很喜欢陈冲抽烟的样子。历史片儿竟然居然是外国人拍的→_→   ,2017-04-09 23:17:41,allstar40 rating,19
肖浑,看过,重看，这次是210分钟加长版，声音有问题，一会儿说中文一会儿说英文。到伪满洲国那段终于忍不住打起瞌睡，看到婉容被川岛芳子舔脚一下又醒了。话说这段应该是溥仪不能自主的一生中唯一一次自己选择的事情吧。,2017-05-08 18:23:58,allstar40 rating,10
晏之敖,看过,真没看出来这片有什么写实或者展现人性的地方，这不就是西方人眼里边来瞅个稀奇么，还这么多人捧臭脚，合着自己觉得当个有鞭子的中国人多有面子似的。,2013-06-29 23:57:01,allstar10 rating,16
盲忙,看过,无论是紫禁城的大门，满洲国官邸大门，还是新中国监狱的大门，本质上没有差别，时代的牢笼永远将你束缚，哪怕你是天之骄子。你学会骑车奔驰在紫禁城内，你出狱后失而复得骑车去菜市场，你都以为会骑向一段新生活，而实际上你只能骑向一个又一个深渊，周而复始。,2010-03-16 21:33:29,allstar50 rating,10
焚紙樓,看过,Bertolucci真是神傑，儘管濃厚的東方主義如斯叫人反胃……　　p.s.那位英國家教的得寵過程與歷代宦官的崛起方式完全一致，巧合乎？,2018-07-12 00:03:24,allstar40 rating,6
蘇小北,看过,夕陽殘照，紫禁森森。每個人都是歷史背景下的弄兒，只是有些人風光光，有些人淒慘慘，但更多的則是默默無聲，無人知曉，百年身之後，餘下的是漫長的遺忘。溥儀則代表著另一種人生，極度的輝煌，極度的悽惶，只是不管怎樣，我們在命運的終點，遭遇的依舊是絕望的孤獨。你是個命運的玩偶，孤獨供著笑談。,2011-11-29 08:35:40,allstar50 rating,8
NVHZ,看过,原先被自己和日本洗劫了一次，现在又被英语洗劫一次，全片最美的瞬间就是那个宫女用汉语说出的一句看，多年轻呀。陷入史诗片的烂俗，而且烂得很厉害。除了颜色好看，镜头没什么意思。3P那场戏真的很不错，陈冲第一次出场也是。陈冲出现的时候总是不会太坏。本来是因为坂本龙一的配乐看的，结果也是烂俗得要命。最后上故宫的镜头竟然没摆正，完全不知道为什么。差得出奇。还是要回归故宫本身的美的，回归艺术在时代当中的孑然一身。但是故宫那样的美，被那些不伦不类的英语侮辱了个遍。就算陈冲的声音好听、地道，也还是情愿听不那样好听、不那样地道的汉语。不过不用说，汉语配音听起来更难受。也是挺厉害了，本来讲英语的配不好就罢了，本来就应该讲汉语的还是配得做作得要命，甚至不如人家不伦不类的英语。,2019-01-24 04:08:20,allstar10 rating,9
元宝宝,看过,唯一一部能够在紫禁城实景拍摄的影片，艺术水准还是够的！,2017-05-01 21:12:59,allstar30 rating,23
Ada🧣Wong💋💍,看过,这部电影证明了，当汉奸当皇帝也很惨，还不如平民百姓。导演对于光影的运用，已经趋于化境。影片几乎全部采用自然光，大量运用广角拍摄。任何一个想学习摄影或者摄像的人，都应该好好看看这部电影，看看如何运用光线表达人物的心情。,2016-11-19 21:36:07,allstar40 rating,10
清欢,看过,他们都说我有罪，他们要我坦白自己的罪孽。我说我想改革，改变紫禁城。他们不信。因为他们不知道，我是末代皇帝，更是紫禁城里最孤独的那个小孩。,2017-06-07 15:01:26,allstar50 rating,18
德卡的羊,看过,88/100，巧妙的双重时空叙事结构，宏大又悲情的时代背景，这是一个讲述新时代的浪潮里旧的“领袖”如何灭亡的故事。充分而真实的细节让它的年代感看起来是那么令人信服，而考究的服化道和摄影布光则加强了电影的史诗感与厚重感，配乐也相当出彩。wg的部分让我感到反胃，随着情感的代入让我感觉是如此之悲哀和讽刺。我相信这会是一部隽永的电影，虽然是外国影片，它也只可能是外国影片，但会在电影史上散发着东方辉光。,2018-11-28 23:39:49,allstar50 rating,7
库库尔坎,看过,小時真是神馬也不懂。近來結合坂上之云+重習末代皇帝，不論是日軍侵華，還是當時溥儀作偽滿的傀儡皇帝，很多時候都是無奈之舉，日本自日俄戰爭以來就沒控制住內閣即陸軍的奪權和暴走，溥儀對混亂、侮辱其祖陵的共和國表示憤怒，故愚蠢地投靠了日本。但永遠自相情願地需要歷史的罪人——當毛也走向集權,2012-01-25 15:03:29,allstar50 rating,11
[她不能注销],看过,天津站告别的时候，溥仪拿出扇子，我的眼泪刷的一下；笙箫管弦的乐队奏起友谊地久天长，眼泪又刷的一下。别的东西，再说都是苍白无力的。,2018-04-08 20:02:25,allstar50 rating,12
船山遗风,看过,我看的是加长版3小时38分钟的，虽然看着黄皮肤说着英语很别扭。但其抒情的手法很不错。溥仪从进紫禁城开始，其人生的悲剧就开始了，有很多细节，豆友都解说的很详细。还是意大利人善于抒情啊。之后有点怀疑，此片为什么没被禁？末代皇帝如溥仪一生，足矣！无憾！,2011-06-03 22:07:41,allstar50 rating,6
沐梵,看过,史诗杰作！摄影美术造型乃至群演，都满足对近现代历史的想象……溥仪的一生无疑是戏剧化且悲剧性的，三度被推上帝位，身处政治漩涡却未发挥实质作用，为王为帝却从未掌握过实权，也从未将自身命运握于手中。年少时想逃离，成年后却再也回不去。伴随着紫禁城的黄昏，他以及他背后的王朝堕入冰凉的黑夜,2018-04-08 20:31:11,allstar50 rating,10
后自愈,看过,BJIFF3D大银幕。三个小时过后，做了一个无比漫长的梦，梦里有时代变迁，有力不从心，有爱恨情仇。缓缓流淌的长河中，一幕幕影像就这样过境，留下一部史诗。,2018-04-17 01:03:34,allstar50 rating,12
zitsunari,看过,后面红卫兵那段看得汗毛倒竖。但是字幕能用心点不，郑孝胥被翻译成陈小苏、肖新，张景惠变成常正惠、张金贵。其实我小时候在电影院看过，如今人到晚年再次进电影院看，心情就好像银幕上的老年溥仪去故宫参观一样（然后，他就死了…,2006-04-18 21:47:10,allstar50 rating,10
sosovipp,看过,语录：在紫禁城内你永远是皇帝，但在外面不是。,2012-04-10 14:11:21,allstar40 rating,15
戴帽帽的冲浪里,看过,终于把这片子看了。看到最后一刻，心悦诚服，伟大的影片。以一人的风雨展现了半个世纪整个中国的翻天覆地。尊龙、陈冲的演技让人战栗。而一个意大利人能够拍出如此深刻的中国历史更是，诶，除了惊叹也有唏嘘吧。最后，年迈的溥仪孩子般地从太和殿的宝座上翻出幼时的蛐蛐罐全片之最，神来之笔。,2016-12-21 12:52:53,allstar50 rating,10
疾走,看过,看得我心里特别难受 一会儿写日记,2011-05-19 08:06:36,allstar50 rating,13
zivin4,看过,外国人最好不要学讲中国故事 无神韵,2012-03-03 22:51:19,allstar10 rating,15
每日可爱二百人,看过,就只是工整而已吧。完全是西方人的视角，格局和时间跨度很大，人物性格和内心活动却不够细。中国人要复杂曲折得多。,2017-05-08 18:19:30,allstar40 rating,10
不能·喵大妍儿,看过,"要人命的光影调度。要人命的大广角。要人命的色调调配。
贝托鲁奇就是很擅长诉说深入骨髓的寂寞感啊。",2017-09-20 04:09:12,allstar50 rating,12
津五渡,看过,意大利影人的历史担当与艺术造诣，不是一些电影小国所能接近的。电影以末代皇帝溥仪的一生，引出了20世纪中国历史的滚滚洪流。和陈凯歌的《霸王别姬》同样伟大。一部以末代皇帝为视角，一部以京剧“名角”为视角，同样的极具艺术特色的书写了历史。意大利人真乃欧洲中国人，把中国电影拍得这么好。,2015-02-13 14:46:40,allstar50 rating,8
好姑娘老妖,看过,世界上最孤独的孩子。,2015-09-05 01:52:41,allstar50 rating,15
大海里的针,看过,终于把这部经典之作补完了，溥仪的一生本来就足够传奇，贝托鲁奇的叙事、摄影也完全对得起这个传奇的故事，再加上尊龙、陈冲、邬君梅等人的演技，坂本龙一的配乐，考究细致的服化道，简直了......更可贵的是客观真实的立场，没有偏见、猎奇、丑化，也没有洗白、粉饰、扭曲，而是真正的尊重历史，不仅让西方也让我们自己更了解那段历史。看多了宫斗戏、辫子戏，印象中的紫禁城一直是乾隆、和珅、纪晓岚们的插科打诨、人情世故，而这部影片里的紫禁城空旷冷寂、暮色沉沉，像极了一座坟墓。,2019-03-06 21:02:47,allstar50 rating,6
Whatever,看过,搞笑，溥仪去自己的住所还要买门票。物是人非，人还是得往前看；闭门造车，也只有罐子里的人愿意陪你玩游戏；国家傀儡，自以为是哄着自己玩儿。最讽刺的莫过于，外国人拍出来的中国才是当时真的中国，我们只是弄点神剧哄骗自己罢了。,2018-08-12 23:19:31,allstar40 rating,9
岩井俊七,看过,四星半，3D貌似是没啥必要，但是用这样的方式重温还是很珍贵的体验。重看觉得彼得奥图尔灵呆了，一曲二胡笙箫版的友谊地久天长的送别虐心极了。全场座无虚席，近三个小时始终鸦雀无声，正片结束和滚动演职员表结束一千多号人两次掌声雷动的场面，简直比电影都感动,2015-06-20 13:22:28,allstar50 rating,8
Jeannels,看过,“紫禁城现在就像一座没有观众的剧场，为何演员还要留在舞台上。”,2016-03-20 15:02:42,allstar40 rating,12
卒子睡大觉,看过,开寅老师把我想说的都说完了，“不被历史所诱惑，而倾心于对人物内心情感逻辑的体察，这是贝尔托鲁奇的水平所在。”,2019-01-01 01:58:13,allstar50 rating,10
顗礼,看过,他曾是宇宙之王，享受过大被同床，可命运的发展却不是他想象中的模样。送别师长时他用了一首友谊地久天长，他也在不断地尝试反抗；他不是没有自己的主张，只是那囚徒与傀儡的身份伴随着他的时间太长太长；而生活给予他的，只是那残酷的真相。生死两茫茫，往事亦难忘，造反有理由，自由最高尚。命运造化弄人，总是剥夺他新的希望，一生身不由己，却也算得以善终，只是人间再无帝王,2019-05-14 23:35:25,allstar40 rating,5
李濛Lemon,看过,他的一生，没有谁为他开启过一扇门，“Open the door! ”这是他一生中最无奈的渴望。紫禁城、天子、满洲国，这些名词像咒语一样囚禁了他。从三岁登基到53岁被刑满释放，他不知道什么是自由，世界很多彩，而他只是生活在一个大大的玻璃缸中。,2011-07-04 07:37:07,allstar50 rating,14
丛二,看过,这是紫禁城最好的写照：堂皇、悲慷、阴森与颓圮，溥仪只是这座城最后的魂灵。贝托鲁奇东方奇观式的窥视，把皇朝背影裁剪得分外凄美：家亡国破此身留。一生负气成今日。最后花匠买了一元钱票，回了家。不要嘲笑杜撰的真实，我们自家人不也曾写过这种羞国馀生的和解：收拾起大地山河一担装，四大皆空相。,2016-04-21 00:52:52,allstar50 rating,9
思路乐,看过,【A+】演员说的是英文，配乐用的是西乐，导演则是意大利人，但它的魂却是最“中国”的。无论是导演、演员，还是摄影、编剧和配乐师，他们所有人都以一种“历史同情心”来公正的呈现那段往事。他们很尊重历史的还原，而且没有只顾于冰冷的呈现历史，而是尽可能的让人物有性格，有思想，有爱恨纠葛。无论是过去还是将来，你可能再也无法在大荧幕上找到这么美的紫禁城了，悲哀啊！,2018-10-28 16:07:18,allstar50 rating,6
梅子,看过,难以想象一个外国人能对这样一个中国题材有如此的把握。双线平行，闪回叙事，摄影、光线、构图皆好，尤其是光线，拍出了没落清宫的寂寥凄清，即使人多的戏也透着一股冷意，甚至让人觉得瘆人。看到被释放后的段落更是难过的很，溥仪一生想过改变、抗争，只是命运面前，人太渺小，挡不住历史的车轮滚滚。,2017-12-21 19:00:02,allstar50 rating,5
喵尔摩丝,看过,浓墨重彩又极近哀伤，两段让人格外印象深刻的戏，一是为庄士敦送行时，一曲吹拉弹唱的《友谊地久天长》，一是结尾溥仪重回故宫，还要买门票。大约没有哪个人能像溥仪一样，浓缩乱世风云下的荣辱悲欢于一身，尘埃落定后，最不寻常的他，终究成了一个普通人，这才是最悲凉的。,2016-07-13 11:51:32,allstar50 rating,7
仿真男孩哪吒,看过,选择英语真是将故事大打折扣，除了尊龙我只觉得陈冲那句I hate you处理出来要比汉语更美…但即使如此也不能妨碍导演的情怀，故事讲得很美，陈冲很美。因为这段历史实在是太复杂，一个王朝的死亡总是比革命本身更值得回味。,2012-07-13 23:10:47,allstar50 rating,9
小川   靜,看过,"80~90年代這種大製作的電影幾乎都好看.外國人拍中國人的故事都不是太差的.中國最後一個皇帝,他有多少無奈與無能為力的辛酸.",2017-04-22 12:30:18,allstar40 rating,6
某S,看过,也许，电影作为一种艺术形式的巅峰时代其实早已经过去了。,2016-04-13 00:41:09,allstar50 rating,8
不贰,看过,"“我住在这儿，我是花匠的儿子”
“是吗，我原来也住在这里，我原是中国的皇帝。”令人唏嘘的传奇一生。",2018-08-27 13:06:03,allstar50 rating,11
豆瓣酱,看过,溥仪确是悲剧，但这段历不应该这么来看，世界革命只是赶在了我国少数人管理多数人时期！导演有意让那些面目可憎的人饰演这些个反面角色，与我国五六十年代电影里反映地下党和国民党的手法如出一辙，可怜这么多不懂历史的傻逼还跟风咒骂，这正是导演所期望的结果，可悲！我的评价是不客观、偏激、无耻。,2011-02-22 12:15:51,allstar30 rating,5
saintdump,看过,皇帝是个symbol，紫禁城是没有观众的戏院，身份是那扇永远走不出的门。摄影机的摇升带出人所在的环境，从溥仪的主观视角扩展到变换王旗的历史场景，“历史如同其对象”，被观看，被映射：抬矫的万岁、叩拜的仪式、轮回的戏台，囚禁在历史中的人，见证其彼此模仿的长影，在空殿的金色中回响，叹息般沉重，幽灵般飘渺。美术出色：布的“无知之幕”和情色意味，床戏的蓦然火光漫天与满洲国权力幻灭时的蓦然黯淡，门与框、监视与逃离的重重意象。语言陌生化的一个附加效果：英语似乎围出了一个剧情的、也是文明的世界，其外的是异域、不可理解的意识形态。,2019-05-09 23:57:10,allstar50 rating,6
Cycble,看过,一生大半辈子被关在一个院子里，追不上远去的奶妈，也追不上远走的爱人，追不上这个变幻的世界。最后，跌落成平凡人的他，看到一群年轻人高呼万岁，而不是喊自己的时候，一定百感交集吧。他曾拥有一切，而今，这个时代，早已不属于他了。,2019-03-19 22:16:47,allstar50 rating,5
香雪芝兰皮狮虎,看过,这部片子的色调和氛围奠定了很多西人的东方幻想之基调。可是去过故宫的我却很难把片子里那种金色——流金也好、暗金也好、生的死的热闹的孤独的，统统是金色的，与真正故宫流露的暗黑颓败想联系。,2010-09-07 10:52:07,allstar40 rating,10
南澳一姐小渡边,看过,忘记了是什么时候看过的，第一次看的时候就知道是外国导演，努力想找寻我们对中国这段历史看法的不同，好像，也没有什么不同，但是，有我不知道的事情。而且也忘记了什么时候在豆瓣标记看过结果莫名其妙又被删了标记。,2018-03-25 00:06:22,allstar50 rating,6
Panda的阴影,看过,外国人拍的绝佳中国历史电影。—4→5— 2018.4.9 耀莱五棵松 3D修复版：⒈第一遍看的国语版，以至于这次的英语原声版听见中国演员们说着英语甚至中英文来回切换无障碍交流时，时不时觉得有些违和；⒉联想到最后的文革段落，《戏梦巴黎》里出现毛主席也就不那么意外了；⒊奥斯卡9提9中也是厉害了！……,2012-08-01 17:28:47,allstar50 rating,7
海边的索塞罗,看过,"四刷，我的启蒙电影之一，全部看的配音版，更能融入那个历史情境。八十年代的奥斯卡是传记片的天下，其中登峰造极的就是这部了。溥仪的一生是囚徒式的存在，回忆线的第一个镜头是一道门的打开，从此他的命运就被关到门里，集皇帝与囚徒这两个矛盾的身份于一体，《where is armo》的四次响起，都是在他失去珍贵之物的时刻：母亲、二嬷、紫禁城、婉容，他永远是一个身不由己的人。
蛐蛐的两次出现也是妙笔，它是溥仪的写照，登基之日入牢笼，临终之际得自由。贝托鲁奇是天才，让人觉得他就是中国历史的一份子，或许和他的共产党身份有关。时代变迁下的个人命运，这个主题可能启发了第五代，毕竟陈凯歌也客串了一个龙套（本次重刷的惊喜发现）。尊龙演的很好，不过演溥仪还是梁家辉更合适。",2018-11-27 22:10:23,allstar50 rating,6
凹凸,看过,意大利导演竟能拍出中国历史的厚重感 还能让人体验到在细节之处的考究 结尾简直不能更棒,2015-07-19 22:26:31,allstar50 rating,7
[已注销],看过,想看当年光明日报文汇报对此片的批判，这样子真的能公映？尊龙美，作曲家帅，陈冲好,2017-02-20 23:50:29,allstar50 rating,12
寒枝雀静,看过,*加长版 中国故事外壳下的人类意识形态控制寓言。三个半小时视听盛宴。时间恰到好处但再多个四小时也完全不会觉得漫长。才得知去年SIFF已经上映过……无比期待此生能够看一次大银幕。基本锁定暑期观影最佳。妈走进来看了几分钟，说了句 ，“改朝换代啊……”,2016-08-05 18:37:35,allstar50 rating,4
seabisuit,看过,因它知道了奥斯卡，虽儿时看不理解为什么说英语。斯托拉罗的色彩变化和出神的运镜最喜欢情欲戏，贝托鲁奇用西方的理解拍出半个多世纪的中国近代史诗，各个关键时期过渡的处理和剪辑，追不上也离不开永远被囚禁要开门的皇帝，洗脑配乐选角化妆服装故宫实地拍摄的质感考究和改编的再创作。胶片国语配音版上影节3D修复北影节资料馆三次大银幕。,2015-06-22 16:55:58,allstar50 rating,2
starlight.,看过,"8.5 三岁登基，六岁退位，年幼无知却要“指点”江山，母亲去世也无法出宫看望。年少时追不回奶妈，长大后留不住“皇后”。曾经以为能变革却被太监烧了财库，再次圆梦当上皇帝却成为了日本的傀儡。入宫以来第一次踏出紫禁城竟是因国民党军的强制赶出，老年时重回自己曾住的宫殿却还要买票进入。看似被侍候比任何人都优越，却是饱受禁锢与控制，缺爱，且从未获得过自由。溥仪寂寞又凄凉的悲剧人生，或许在入宫的那天便已是命中注定的吧。
英文对白一开始确实比较出戏，但之后便也就习惯了//教授的配乐绝赞，没想到还在片中客串了一段，简直帅惨咯//很有代表性的一段中国历史却被意大利导演拍出来了，不禁令人慨叹。贝托鲁奇想必一定下了非常多的功夫吧，值得敬佩。",2019-05-07 23:08:36,allstar40 rating,3
feeling,看过,除了3D效果可以视若无物，巨幕上的修复效果堪称完美，景、音、人皆美轮美奂。日落紫禁，开门不应，流光溢彩下的历史悲凉，愈美愈伤。贝托鲁奇视野异化，却也因此创造出了蟋蟀结尾这样的神级表现。 #于天幕巨幕重温#,2016-04-17 21:16:07,allstar50 rating,7
Kreuzberg,看过,"""I think the Emperor is the loneliest child on earth.""",2016-04-17 06:53:14,allstar50 rating,9
科普段子辽叔,看过,实在没什么意思，片中溥仪和大时代的互动太少了，我不相信一个经历如此破烂壮阔的历史的人生会只有这些风月可拍,2011-06-14 22:07:12,allstar20 rating,7
王绛绿,看过,＂你救我不过是为了让我在你的游戏中当木偶＂。用这句话来概括溥仪悲催的一生再恰当不过了。紫禁城如此，伪满洲如是，zf监狱更是。片中好多让人难受及意味深长的镜头，在这样一个多舛国度，即使贵为皇帝又何如，亦如蝼蚁，渺小无力。,2013-09-06 00:49:09,allstar40 rating,6
灰色堡垒,看过,感觉加长版比原版好很多。说它是中国最好的电影我是不同意的，因为剧情有些平铺直叙和碎，不过场面调度、色彩运用和细节都很牛。作为中国人，会觉得很多地方不符合史实，而且陈冲也不像婉容，那个川岛芳子更是夸张，好在尊龙把溥仪的那种随波逐流给演活了。50年代那条线对极权和思想控制的指涉很明显。,2016-04-06 22:17:26,allstar40 rating,3
い银蛊,看过,教授做的bgm实在是太美 经典音乐一响起便泪奔 溥仪追阿嬷 追婉蓉大门一关 嘶吼着“OPEN THE DOOR”自己仍然逃不出枷锁 至尊之人留不住任何人 家破人亡妻离子散祖坟都被挖了 历史的洪流中都只不过是尘埃 蒙骗自己 最后批斗的场面 高喊万岁红歌红舞红卫兵 真的吓到我了,2016-04-21 01:53:24,allstar50 rating,5
我是半个大头,看过,太压抑了，被历史推着走的人。留不住爱的人、打不开眼前的门、满怀理想却沦为傀儡，人在历史变迁中都太渺小。,2017-02-15 11:10:17,allstar50 rating,9
韩景峰看电影,看过,美轮美奂，气势磅礴，《末代皇帝》的声与画都让人难以忘怀，它让溥仪成为中国一段飘摇历史的注解，以厚重的历史感吸引和感染着观众，这个关于中国末代皇帝的故事实际上是中国人集体的时代缩影。与此同时，关于人生的渴望和积压是溥仪一生的困顿，也会是无数观众唏嘘感慨的地方。,2015-07-23 15:14:05,allstar50 rating,4
F.t,看过,从一个人的角度看电影,2011-09-27 02:04:30,allstar50 rating,12
Mr. Infamous,看过,#北京国际电影节#清末民初的故宫已经是这么老态横陈，苍黄得一如这仓皇的人物，卡在历史旮旯里，百般捆缚，总是不如意而抗不过。那些年尊龙和陈冲太迷人，遗老遗少特有的鲜艳与枯黄，因被风云过于变幻的年代漂得太过不堪的质感，很是到位。（标记的第2000部电影）,2016-04-23 18:46:15,allstar50 rating,3
郝小勺,看过,用感性的视角重现一段复杂的历史，电影带来不一样的眼光。影片的“怪”处与帝王的“孤”意神妙结合，东方也好西方也罢，美感共通。很幸运，第一次看就是大屏幕。大学时期兼职做导游进出故宫五六十趟，对那种古和新的交融有很深的触动，不论哪个时代，紫禁城都是如此如此地令人向往。北影节资料馆,2018-04-08 23:03:04,allstar50 rating,3
离净语,看过,很漂亮啊；溥仪太好看了点吧；陈冲应该再去拍部婉容传啊；洞房真的有人帮忙宽衣么= =,2011-04-10 10:34:05,allstar40 rating,5
赱馬觀♣,看过,“二十年之后，不要被华丽与荣耀所误导，感觉将会更好。它不像史诗，而更像是一部小电影。或者说，好像一部以小津视角丰润过的具有大卫里恩视野的电影。”——戴维·汤普森,2013-01-13 19:38:56,allstar40 rating,2
Henrique Asano,看过,219min啊，累死了。浓浓的历史沧桑感，看得落泪，看完后那种震撼绝对是充血的，一个意大利导演还原了中国近代史，80年代开放的风气，在故宫拍摄，且能大尺度叙说历史功不可没,2012-07-27 00:59:00,allstar50 rating,3
Frederic,看过,有意识地开始观察摄影与剪辑音乐等的配合后，更能体会电影作为综合艺术的伟大。2018-BJIFF@电影资料馆（3D4K 修复版）,2018-04-08 23:38:38,allstar50 rating,4
芹泽虾饺菌,看过,那个涂红脸蛋儿的中国人急了，开始冲溥仪狂飚英语。当时笑倒。不过还不错，陈冲很有女人味儿滴,2007-08-16 16:30:21,allstar30 rating,7
Irgendwie,看过,贝托鲁奇的风格太多变了，真是一位非常有想法和表现力的导演，我特喜欢这类电影，主题宏大，局部细腻。溥仪可没尊龙这么英俊潇洒，陈冲却也并不如婉容漂亮，陈凯歌那酱油打得非常欢乐。审讯溥仪的胖子长得像耄，还有几个龙套也分别像周和刘，绝妙的讽刺。配乐十颗星。,2012-01-27 00:02:49,allstar50 rating,4
叫啥好呢？,看过,哇塞，我差点都忘了这部剧了，很久以前看的。特别喜欢小溥仪那个演员，还有那个摄政王说的那个快完了也是很经典的！,2018-09-17 15:27:57,allstar50 rating,7
曼靑,看过,"既然這部電影以大熱門姿態連奪奧斯卡九項大獎，這電影的製作人想已沒有甚麼遺憾。即使有 大概隻屬於中國人。中國觀眾感嘆，最後一個皇帝的傳奇 拍得最完整無缺、最燦爛的竟然昰外國人。林夕《曾經》P275 “ 末代遺憾"" 。",2010-11-03 17:35:52,allstar50 rating,3
相逢何必不认识,看过,这是一部被国人认可的外国电影，有色彩的宫殿。,2018-03-01 22:47:48,allstar40 rating,7
如暮草,看过,今天发生了很恐怖的事情，它恐怖到什么地步呢？可能让这部电影名不副实。,2018-02-25 22:59:10,allstar50 rating,14
姓亚名蒙,看过,不仅是世界电影名作，从各方面也直接影响了迄今仍是中国最好电影之一的《霸王别姬》，尤其那股史诗的气息。最重要是，除了“整个整个紫禁城都讲英文”这点可能不习惯，你根本没法对任何环节说句“不够好”，这就是影片真正打动人心、弥久不衰的核心原因！,2017-06-28 16:36:29,allstar50 rating,5
麻绳🚬,看过,30年后重温，219分钟版本。一生挣扎于失落的皇权和复国的野心之间，一个时代的囚徒，一具红色政权下的行尸走肉。古典美学下的写实与写意，迷人通透，荡气回肠。,2019-11-18 08:22:24,allstar50 rating,6
连城易脆,看过,由于配音和字幕以及163分钟的片长影响到了我的观影体验，某些表演也显得过于呆滞，缺乏活力...,2014-11-30 18:38:02,allstar40 rating,4
